text,intent
"Vâng, tôi muốn cho bạn xem bức tranh.",Đồng ý
"Không, tôi không muốn.",Từ chối
"Tôi không biết.",Không chắc chắn
"Xin lỗi, tôi không hiểu bạn đang nói gì.",Fallback
"Được rồi, để tôi cho bạn xem.",Đồng ý
"Không, tôi nghĩ là không cần.",Từ chối
"Tôi không chắc điều này có cần thiết không.",Không chắc chắn
"Tôi chưa hiểu rõ câu hỏi của bạn.",Fallback
"Im lặng trong 10 giây.",Im lặng
"Chắc chắn rồi, để tôi làm.",Đồng ý
"Không, điều đó không đúng.",Từ chối
"Tôi nghĩ tôi cần thêm thời gian để xem xét.",Không chắc chắn
"Tôi xin lỗi, bạn có thể nói rõ hơn không?",Fallback
"Không có phản hồi nào trong 5 giây.",Im lặng
"Vâng, tôi đồng ý với bạn.",Đồng ý
"Tôi không chắc, hãy để tôi kiểm tra lại.",Không chắc chắn
"Thành thật mà nói, tôi không hiểu ý bạn.",Fallback
"Không, tôi không đồng ý.",Từ chối
"Hoàn toàn chính xác, để tôi làm.",Đồng ý
"Không có gì để nói cả.",Im lặng
"Xin lỗi, tôi không chắc bạn đang nói gì.",Fallback
"Tôi chưa quyết định.",Không chắc chắn
"Để tôi xem xét thêm.",Không chắc chắn
"Không, tôi không thấy cần thiết.",Từ chối
"Tuyệt vời, để tôi giúp bạn ngay.",Đồng ý
"Không có âm thanh nào phát ra.",Im lặng
"Bạn có thể nhắc lại không?",Fallback
